,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
0,v Australia,2023-2023,5.0,321.0,98.0,35.66,0.0,-,-,-,-,9.0,0.0,-
1,v Bangladesh,2016-2016,2.0,92.0,56.0,23.0,0.0,-,-,-,-,1.0,0.0,-
2,v India,2016-2024,7.0,361.0,153.0,27.76,1.0,-,-,-,-,4.0,0.0,-
3,v Ireland,2023-2023,1.0,182.0,182.0,182.0,1.0,-,-,-,-,0.0,0.0,-
4,v New Zealand,2023-2023,2.0,151.0,84.0,37.75,0.0,-,-,-,-,1.0,0.0,-
5,v Pakistan,2022-2022,3.0,357.0,107.0,71.4,1.0,-,-,-,-,2.0,0.0,-
6,,,,,,,,,,,,,,
7,in Bangladesh,2016-2016,2.0,92.0,56.0,23.0,0.0,-,-,-,-,1.0,0.0,-
8,in England,2023-2023,6.0,503.0,182.0,50.3,1.0,-,-,-,-,9.0,0.0,-
9,in India,2016-2024,7.0,361.0,153.0,27.76,1.0,-,-,-,-,4.0,0.0,-
10,in New Zealand,2023-2023,2.0,151.0,84.0,37.75,0.0,-,-,-,-,1.0,0.0,-
11,in Pakistan,2022-2022,3.0,357.0,107.0,71.4,1.0,-,-,-,-,2.0,0.0,-
12,,,,,,,,,,,,,,
13,in Asia,2016-2024,12.0,810.0,153.0,36.81,2.0,-,-,-,-,7.0,0.0,-
14,in Europe,2023-2023,6.0,503.0,182.0,50.3,1.0,-,-,-,-,9.0,0.0,-
15,in Oceania,2023-2023,2.0,151.0,84.0,37.75,0.0,-,-,-,-,1.0,0.0,-
16,,,,,,,,,,,,,,
17,home,2023-2023,6.0,503.0,182.0,50.3,1.0,-,-,-,-,9.0,0.0,-
18,away,2016-2024,14.0,961.0,153.0,36.96,2.0,-,-,-,-,8.0,0.0,-
19,,,,,,,,,,,,,,
20,year 2016,,4.0,110.0,56.0,15.71,0.0,-,-,-,-,1.0,0.0,-
21,year 2022,,3.0,357.0,107.0,71.4,1.0,-,-,-,-,2.0,0.0,-
22,year 2023,,8.0,654.0,182.0,46.71,1.0,-,-,-,-,10.0,0.0,-
23,year 2024,,5.0,343.0,153.0,34.3,1.0,-,-,-,-,4.0,0.0,-
24,,,,,,,,,,,,,,
25,season 2016/17,,4.0,110.0,56.0,15.71,0.0,-,-,-,-,1.0,0.0,-
26,season 2022/23,,5.0,508.0,107.0,56.44,1.0,-,-,-,-,3.0,0.0,-
27,season 2023,,6.0,503.0,182.0,50.3,1.0,-,-,-,-,9.0,0.0,-
28,season 2023/24,,5.0,343.0,153.0,34.3,1.0,-,-,-,-,4.0,0.0,-
